BUY.price,BUY.volume
6847.9411,1682.487477965
6858.3515,3326.847477965
6858.6518,3546.105077965
6860.7539,5581.713377965
6860.854,5615.983377965
6861.7549,7672.453377965
6861.855,8152.303377965
6861.855,10597.547823065
6862.28543,10674.328639065
6862.856,10691.291617145
6863.1563,10867.388689219
6863.17632,13038.8947286494
6863.41656,13141.7431286494
6863.42657,13244.5916786494
6863.4566,13347.4406786494
6863.46661,13374.8671186494
6863.51666,13477.7170186494
6863.58673,13580.5679686494
6863.66681,13683.4201186494
6863.70685,13702.0061591224
6863.77692,13715.7199991224
6863.857,24378.3549991224
6863.9571,27121.1949991224
6864.47762,27128.0526191224
6864.62777,29267.6768591224
6864.70785,29953.4618591224
6864.79794,29960.3197991224
6864.858,59848.1047224424
6864.86801,65279.3350256451
6864.87130551222,65322.0803366942
6864.93808,65328.9384166942
6865.34849,65363.2308666942
6865.59874,65376.9483466942
6865.7589,99393.4373074732
